AM1,AM2,AM3,AM4,AM5,AM6,AM7,AM8,AM9,AM10,AM11,AM12,AM13,AM14,AM15,AM16,AM17,AM18,AM19,AM20,AM21,AM22,AM23,AM24,AM25,AM26,AM27,AM28,AM29,AM30,AM31,AM32,AM33,AM34,AM35,AM36,AM37,AM38,AM39,AM40,AM41,AM42
4,4,4,1,3,3,1,4,4,3,1,3,2,4,4,3,2,3,1,4,3,2,4,4,1,2,2,4,1,4,1,3,4,3,4,2,1,3,3,2,4,4
4,4,4,2,3,4,1,3,4,3,1,4,2,4,4,2,2,3,1,4,1,2,4,4,2,2,2,3,1,3,2,1,3,3,4,4,2,2,3,3,4,2
3,3,1,2,3,3,3,3,3,4,2,4,4,4,3,3,3,4,2,4,3,2,4,2,2,2,2,3,2,3,2,1,2,2,4,4,2,2,3,4,2,2
4,4,1,2,2,3,3,3,4,4,2,4,4,3,4,3,3,3,2,2,2,3,3,3,3,2,2,3,2,4,3,3,3,3,4,4,1,2,3,4,3,2
4,4,4,4,4,4,2,2,4,4,3,3,3,4,4,2,1,4,1,4,1,2,4,4,3,3,2,3,1,2,1,3,2,2,4,4,2,3,4,4,4,1
4,2,3,3,3,3,4,4,4,4,3,4,3,3,3,2,4,2,4,2,3,1,4,3,2,1,3,3,2,4,1,3,4,4,4,4,2,4,4,3,3,3
3,3,1,1,3,3,4,2,3,4,2,3,4,2,2,3,1,4,1,3,2,4,2,2,1,3,1,2,1,2,3,4,1,3,2,2,2,2,4,2,2,1
4,3,1,2,2,2,2,2,4,4,4,2,4,4,3,3,3,3,4,1,4,2,3,3,2,2,3,3,3,3,3,3,4,4,4,4,1,1,4,4,4,2
3,3,3,2,3,4,3,3,4,4,2,4,4,3,4,3,3,3,2,3,2,3,3,3,2,1,2,1,2,3,3,2,4,3,4,3,1,2,3,3,3,2
4,3,1,2,3,4,3,3,4,2,3,4,4,4,4,3,2,2,2,4,4,3,3,3,2,2,1,2,2,3,2,3,4,2,2,4,2,4,2,3,2,2
4,3,1,3,3,3,3,3,3,4,2,4,4,4,3,3,2,2,3,3,2,3,4,1,2,2,2,3,1,3,2,1,3,3,4,3,3,3,4,3,3,1
3,3,2,1,3,2,1,3,4,1,2,4,4,4,4,3,3,3,1,3,2,2,3,3,2,2,1,2,2,4,3,3,2,2,4,2,1,4,4,4,3,1
3,3,2,2,3,4,3,3,4,4,1,4,3,3,4,3,3,3,1,4,1,3,3,2,2,3,2,2,2,3,3,3,4,2,3,2,1,1,1,1,4,1
3,3,2,2,4,3,3,3,4,4,2,3,3,3,3,3,3,3,2,3,2,2,3,4,2,2,2,2,2,3,2,3,2,3,4,3,1,1,3,3,3,1
4,4,1,2,3,4,2,4,4,4,2,3,4,3,4,2,3,4,4,4,2,3,4,4,1,2,2,2,2,2,2,3,2,3,4,4,1,3,4,3,4,1
3,3,2,3,4,4,3,3,4,4,3,4,4,4,4,3,4,4,2,4,3,2,4,4,3,2,1,3,2,4,3,2,4,4,4,4,2,2,3,3,2,3
1,3,1,1,4,4,3,4,4,3,1,4,4,3,3,3,2,3,1,1,1,2,4,2,2,2,2,2,2,2,2,4,2,3,2,2,1,1,1,2,2,2
4,3,2,2,3,4,1,3,3,3,1,4,3,3,3,3,3,4,1,3,2,1,4,4,2,2,3,3,2,3,2,3,4,3,4,2,1,3,3,3,3,3
3,3,1,1,3,4,1,4,4,4,2,4,4,4,4,3,2,4,2,4,2,1,4,1,1,3,2,1,2,3,2,3,4,4,4,4,2,1,4,1,1,2
4,4,1,2,4,1,1,3,4,4,1,3,4,4,4,3,2,3,2,4,2,2,3,4,2,1,2,3,3,2,3,3,4,2,4,4,2,4,3,2,3,2
3,3,1,2,3,4,3,3,4,3,3,3,4,3,4,3,2,3,3,4,2,3,3,3,2,2,2,3,2,3,1,2,3,3,2,2,1,3,3,3,3,2
3,3,1,2,3,4,2,3,3,4,2,3,4,3,3,3,3,3,3,4,2,3,3,3,2,2,2,3,2,4,3,2,3,3,4,4,1,3,3,3,3,2
4,4,2,2,3,3,3,3,4,4,1,3,3,3,3,3,3,3,2,4,2,2,3,3,2,2,2,3,2,4,1,3,4,4,3,3,2,2,3,3,2,1
3,4,3,2,3,2,3,4,3,1,2,3,4,3,4,2,3,1,2,2,2,3,3,3,2,1,3,4,4,2,2,2,4,2,2,2,2,2,2,1,4,2
3,3,1,1,3,4,3,4,4,4,1,3,4,1,4,2,3,3,3,3,3,2,2,3,4,2,2,1,3,1,2,3,4,4,2,3,1,2,2,3,1,1
3,4,3,2,2,2,2,4,4,4,1,1,3,4,4,2,1,1,1,3,4,2,4,4,1,2,4,2,1,3,2,3,2,3,3,3,4,4,4,1,3,3
3,3,3,2,3,4,2,4,4,4,2,4,4,3,4,2,3,4,1,4,2,1,4,3,2,2,2,2,1,3,1,3,2,2,4,4,1,2,3,2,4,2
4,3,1,3,3,4,3,4,4,4,1,4,4,3,4,2,1,3,3,4,3,1,4,3,2,2,4,3,3,3,1,3,4,3,4,4,1,3,4,3,4,2
3,3,3,4,4,4,3,1,4,4,4,4,3,4,4,3,3,4,1,2,3,3,2,4,2,3,3,4,3,4,3,3,4,4,4,3,3,4,4,3,3,4
4,3,3,2,3,4,2,4,4,4,2,4,4,3,4,3,3,4,1,4,3,2,4,3,2,2,2,3,3,3,1,3,4,3,4,4,1,4,3,2,3,3
4,4,1,2,4,4,3,4,4,4,2,4,4,3,3,3,2,4,3,4,1,2,3,3,2,3,3,3,3,3,2,3,3,1,4,4,2,4,1,4,4,1
4,3,1,2,3,4,3,4,4,3,2,4,4,3,4,3,3,4,2,4,3,2,4,3,2,2,2,3,2,2,3,3,3,4,4,4,2,3,2,3,4,2
4,3,2,3,4,4,3,3,4,1,2,4,4,4,3,2,2,3,2,3,3,2,3,3,2,2,1,2,3,3,3,1,1,3,4,4,1,4,1,3,4,1
4,4,1,1,3,4,3,3,3,3,2,4,4,4,3,2,2,3,2,4,1,3,4,4,2,2,2,3,1,4,2,3,3,3,4,4,1,1,1,3,4,1
3,3,1,2,3,4,3,3,4,3,2,3,3,3,4,2,2,3,2,3,3,1,3,3,3,2,2,3,2,3,2,1,4,3,4,1,1,3,4,2,3,2
3,3,2,3,3,2,3,3,4,4,3,4,4,3,3,3,2,2,2,3,2,2,3,4,3,3,2,3,3,3,3,4,3,3,4,4,3,3,3,3,3,2
3,3,1,2,3,4,3,3,4,4,2,3,3,3,4,3,3,2,1,3,2,3,3,3,2,3,3,2,2,3,2,2,3,3,4,4,1,3,4,3,3,2
3,3,1,2,3,1,3,4,4,4,2,4,4,2,3,2,2,4,1,4,1,2,4,3,2,1,2,2,2,2,3,2,4,4,3,4,1,4,3,2,4,1
4,3,1,1,3,4,1,4,4,4,3,2,4,4,3,3,1,3,1,3,1,1,3,3,3,2,2,1,2,4,2,1,4,1,4,4,1,2,3,2,2,1
4,3,2,3,3,1,1,4,4,4,2,3,3,4,3,2,2,2,1,4,3,3,4,4,1,3,2,4,2,4,1,3,4,4,4,4,1,2,4,3,4,3
4,4,1,2,3,4,3,4,4,4,2,4,4,3,4,3,3,3,2,4,2,3,4,4,3,3,3,4,4,4,3,4,4,3,4,4,2,4,4,4,4,2
1,3,1,1,4,2,2,3,4,3,2,4,4,3,4,3,2,3,2,3,2,2,3,2,1,2,3,2,2,2,3,4,2,2,4,3,1,3,3,2,2,2
4,4,1,4,3,4,2,4,4,4,2,3,4,4,4,2,2,2,4,4,4,2,4,3,3,3,1,3,1,4,2,4,4,3,4,4,1,2,3,4,4,3
3,2,1,2,3,4,4,3,4,4,2,4,4,3,3,3,3,3,3,4,3,3,4,3,2,3,3,4,1,3,2,3,4,1,2,2,3,2,2,2,3,2
4,3,3,3,4,1,2,2,4,2,3,3,1,4,4,3,2,3,4,3,3,3,2,3,4,4,1,3,2,1,2,2,2,4,3,2,4,2,1,4,4,4
4,4,3,1,2,2,4,3,4,4,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,2,2,3,3,2,2,2,3,2,3,2,4,2,3,3,3,2
4,2,1,3,3,4,2,3,3,3,3,3,3,3,4,2,3,3,2,3,2,3,3,3,4,2,3,2,2,3,2,2,3,2,3,3,2,2,4,4,3,3
4,4,3,1,2,2,4,3,4,4,3,2,4,4,4,3,3,3,3,4,3,3,3,3,3,2,2,2,2,3,2,2,3,2,3,3,2,2,3,3,3,2
4,4,3,1,2,2,4,3,4,4,3,2,4,4,4,3,3,3,3,4,3,3,3,3,4,3,2,2,1,4,1,2,4,1,3,4,2,1,4,4,3,2
3,3,1,2,3,3,2,3,4,3,2,3,4,4,3,3,4,3,2,4,2,3,3,4,2,1,2,2,2,4,1,3,2,2,3,4,1,2,3,4,4,1
3,4,4,1,3,4,1,3,4,1,2,4,1,3,3,3,2,4,4,2,1,1,1,4,1,1,2,1,1,4,2,1,1,3,3,2,2,1,4,3,2,1
4,4,3,2,3,4,3,3,4,4,1,4,3,4,2,3,2,2,4,3,3,1,4,1,2,2,2,3,2,3,1,4,1,2,4,1,1,2,2,3,3,3
4,4,1,2,4,4,3,4,4,2,4,4,4,4,3,3,3,2,1,4,3,3,4,4,3,2,2,3,4,3,1,3,3,4,1,4,2,4,3,4,4,3
3,3,1,1,3,3,3,3,4,4,2,4,4,3,3,3,3,3,2,4,2,3,3,3,2,2,2,2,3,3,2,3,2,3,3,4,3,4,1,3,3,2
4,4,2,2,3,4,2,4,4,4,1,4,4,4,4,2,2,3,1,4,2,3,4,4,2,3,3,3,2,3,3,1,1,1,3,2,2,3,4,4,4,4
4,4,3,3,4,4,3,3,3,4,3,3,3,4,4,3,3,2,3,3,3,3,3,3,3,3,4,4,4,4,4,1,4,3,4,4,1,2,4,4,4,3
4,3,3,2,3,4,3,3,4,4,1,3,3,3,3,3,3,3,1,4,3,2,4,3,3,2,2,2,1,3,2,2,3,1,2,3,2,2,3,3,2,3
4,3,3,4,3,3,1,2,3,4,3,3,3,2,3,1,2,2,3,3,2,3,4,4,4,4,4,3,3,3,3,2,2,1,3,4,2,3,1,2,3,2
4,4,2,2,2,4,3,1,3,3,2,3,2,3,2,4,1,1,1,1,4,2,2,1,4,2,1,3,2,1,3,2,1,2,4,1,1,2,3,2,3,2
4,4,3,3,4,4,3,3,4,4,4,3,2,4,1,2,2,4,3,3,4,2,2,4,2,1,3,4,1,2,2,3,4,3,3,2,1,3,3,4,4,4
2,4,1,2,3,2,1,3,3,1,2,3,2,2,3,1,1,3,1,2,4,2,2,4,3,4,3,4,1,3,1,3,2,4,3,4,3,2,1,4,2,2
2,3,1,2,3,4,3,4,4,4,2,4,4,1,4,3,3,4,1,4,1,2,4,3,1,2,2,2,3,4,4,2,2,3,3,3,3,3,3,4,4,4
